n,a,u,v,s,t,scaled,residual
23,6,3,13,192,832,60.584256481982294,0.9466290075309733
23,6,3,17,192,1088,60.605004473057065,0.9469531948915166
23,6,3,19,192,1216,60.57758072741517,0.946524698865862
23,6,5,7,320,448,60.58099579950603,0.9465780593672817
23,6,5,9,320,576,60.59723046339418,0.9468317259905341
23,6,5,11,320,704,60.579081560592506,0.9465481493842579
23,6,5,13,320,832,60.62741359129732,0.9473033373640206
23,6,5,17,320,1088,60.77029636282676,0.9495358806691682
23,6,5,19,320,1216,60.56532768338892,0.9463332450529519
23,6,7,9,448,576,61.16937518727657,0.9557714873011964
23,6,7,11,448,704,60.57444731466048,0.94647573929157
23,6,7,13,448,832,60.642652471520556,0.9475414448675087
23,6,7,15,448,960,60.578291665031635,0.9465358072661193
23,6,7,17,448,1088,60.55929608182274,0.9462390012784803
23,6,7,19,448,1216,60.56938484450536,0.9463966381953962
23,6,9,11,576,704,60.565413878802076,0.9463345918562824
23,6,9,13,576,832,60.623652350297974,0.9472445679734058
23,6,9,17,576,1088,60.57144556983631,0.9464288370286923
23,6,9,19,576,1216,60.558912331221435,0.9462330051753349
23,6,11,13,704,832,60.550482703538144,0.9461012922427835
23,6,11,15,704,960,60.54576407194723,0.9460275636241755
23,6,11,17,704,1088,60.543457338094164,0.9459915209077213
23,6,11,19,704,1216,60.55375013447099,0.9461523458511092
23,6,13,15,832,960,60.6008742573797,0.9468886602715578
23,6,13,17,832,1088,60.570800809743346,0.9464187626522398
23,6,13,19,832,1216,60.5451874695103,0.9460185542110985
23,6,15,17,960,1088,62.439725525159716,0.9756207113306206
24,6,3,5,192,320,60.59734425982795,0.9468335040598117
24,6,3,7,192,448,60.59764654792316,0.9468382273112994
24,6,3,11,192,704,60.58959286155135,0.9467123884617399
24,6,3,13,192,832,60.586186759456524,0.9466591681165082
24,6,3,17,192,1088,60.5960547668929,0.9468133557327015
24,6,3,19,192,1216,60.58568089726349,0.946651264019742
24,6,5,7,320,448,60.585719909449814,0.9466518735851533
24,6,5,9,320,576,60.59406395691338,0.9467822493267716
24,6,5,11,320,704,60.584885743698905,0.9466388397452954
24,6,5,13,320,832,60.60841584126113,0.9470064975197051
24,6,5,17,320,1088,60.665387066418724,0.9478966729127926
24,6,5,19,320,1216,60.578892226392185,0.9465451910373779
24,6,7,9,448,576,60.86950924581488,0.9510860819658575
24,6,7,11,448,704,60.584229618015016,0.9466285877814846
24,6,7,13,448,832,60.61412332561072,0.9470956769626675
24,6,7,15,448,960,60.58666458880755,0.946666634200118
24,6,7,17,448,1088,60.574755041630006,0.9464805475254688
24,6,7,19,448,1216,60.58205924280606,0.9465946756688447
24,6,9,11,576,704,60.57960120116478,0.9465562687681996
24,6,9,13,576,832,60.61322854873177,0.9470816960739339
24,6,9,17,576,1088,60.57929600034147,0.9465515000053355
24,6,9,19,576,1216,60.5770018859348,0.9465156544677312
24,6,11,13,704,832,60.56981409277758,0.9464033451996496
24,6,11,15,704,960,60.56847186417122,0.9463823728776753
24,6,11,17,704,1088,60.56737435482196,0.9463652242940931
24,6,11,19,704,1216,60.57323692442873,0.9464568269441989
24,6,13,15,832,960,60.59505333883466,0.9467977084192916
24,6,13,17,832,1088,60.57218411190224,0.9464403767484725
24,6,13,19,832,1216,60.57017481299093,0.9464089814529832
24,6,15,17,960,1088,61.52509990522217,0.9613296860190964
25,6,3,5,192,320,60.59553790834766,0.9468052798179322
25,6,3,7,192,448,60.59334822746331,0.9467710660541142
25,6,3,11,192,704,60.58895066446027,0.9467023541321917
25,6,3,13,192,832,60.58798860246179,0.9466873219134655
25,6,3,17,192,1088,60.594233699959744,0.946784901561871
25,6,3,19,192,1216,60.58754022360572,0.9466803159938394
25,6,5,7,320,448,60.58796280290007,0.9466869187953136
25,6,5,9,320,576,60.59386048791576,0.9467790701236838
25,6,5,11,320,704,60.58667007840387,0.9466667199750605
25,6,5,13,320,832,60.60377630708185,0.9469340047981539
25,6,5,17,320,1088,60.64792806544309,0.9476238760225483
25,6,5,19,320,1216,60.58460963538795,0.9466345255529367
25,6,7,9,448,576,60.85200860060332,0.9508126343844269
25,6,7,11,448,704,60.58546997352396,0.9466479683363119
25,6,7,13,448,832,60.60867001184453,0.9470104689350708
25,6,7,15,448,960,60.58715223660053,0.9466742536968833
25,6,7,17,448,1088,60.58127927768752,0.9465824887138675
25,6,7,19,448,1216,60.587432004022546,0.9466786250628523
